Title,Difficulty,Accuracy,Content,URL
Minimize the Heights II,Medium,15.06,"Given an array arr[] denoting heights of N towers and a positive integer K. For each tower, you must perform exactly one of the following operations exactly once. Increase the height of the tower by K Decrease the height of the tower by K Find out the minimum possible difference between the height of the shortest and tallest towers after you have modified each tower. You can find a slight modification of the problem here.
Note: It is compulsory to increase or decrease the height by K for each tower. After the operation, the resultant array should not contain any negative integers. Examples : Input: k = 2, arr[] = {1, 5, 8, 10}
<br/> Output: 5
<br/> Explanation: The array can be modified as {1+k, 5-k, 8-k, 10-k} = {3, 3, 6, 8}.The difference between the largest and the smallest is 8-3 = 5. Input: k = 3, arr[] = {3, 9, 12, 16, 20}
<br/> Output: 11
<br/> Explanation: The array can be modified as Expected Time Complexity: O(n*logn)
Expected Auxiliary Space: O(n) Constraints
1 ≤ k ≤ 107
1 ≤ n ≤ 105
1 ≤ arr[i] ≤ 107",https://www.geeksforgeeks.org/problems/minimize-the-heights3351/1?page=1&sortBy=submissions
Parenthesis Checker,Easy,28.56,"You are given a string s representing an expression containing various types of brackets: {}, (), and []. Your task is to determine whether the brackets in the expression are balanced. A balanced expression is one where every opening bracket has a corresponding closing bracket in the correct order. Examples : Input: s = ""{([])}""
<br/> Output: true
<br/> Explanation:
- In this expression, every opening bracket has a corresponding closing bracket. Input: s = ""()""
<br/> Output: true
<br/> Explanation:
- This expression contains only one type of bracket, the parentheses ( and ). Input: s = ""([]""
<br/> Output: false
<br/> Explanation:
- This expression contains only one type of bracket, the parentheses ( and ). <br/> Constraints:
1 ≤ s.size() ≤ 106
s[i] ∈ {'{', '}', '(', ')', '[', ']'}",https://www.geeksforgeeks.org/problems/parenthesis-checker2744/1?page=1&sortBy=submissions
Equilibrium Point,Easy,28.13,"Given an array arr of non-negative numbers. The task is to find the first equilibrium point in an array. The equilibrium point in an array is an index (or position) such that the sum of all elements before that index is the same as the sum of elements after it. Note: Return equilibrium point in 1-based indexing. Return -1 if no such point exists.  <br/> Examples <br/>: Input: arr[] = [1, 3, 5, 2, 2]
<br/> Output: 3 
<br/> Explanation: The equilibrium point is at position 3 as the sum of elements before it (1+3) = sum of elements after it (2+2). Input: arr[] = [0, 1, 0]
<br/> Output: 2
<br/> Explanation: Since sum all the elements before 1 and after 1 are same, so index 2 is equillibrium. Input: arr[] = [1, 2, 3] <br/> Output: -1
<br/> Explanation: There is no equilibrium point in the given array. Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1) <br/> Constraints:
3 <= arr.size() <= 106
0 <= arr[i] <= 109",https://www.geeksforgeeks.org/problems/equilibrium-point-1587115620/1?page=1&sortBy=submissions
Count Inversions,Medium,16.93,"Given an array of integers arr[]. Find the Inversion Count in the array.
T wo elements arr[i] and arr[j] form an inversion if arr[i] > arr[j] and i < j. Inversion Count: For an array, inversion count indicates how far (or close) the array is from being sorted. If the array is already sorted then the inversion count is 0.
If an array is sorted in the reverse order then the inversion count is the maximum.  <br/> Examples <br/>: Input: arr[] = [2, 4, 1, 3, 5]
<br/> Output: 3
<br/> Explanation: The sequence 2, 4, 1, 3, 5 has three inversions (2, 1), (4, 1), (4, 3). Input: arr[] = [2, 3, 4, 5, 6]
<br/> Output: 0
<br/> Explanation: As the sequence is already sorted so there is no inversion count. Input: arr[] = [10, 10, 10]
<br/> Output: 0
<br/> Explanation: As all the elements of array are same, so there is no inversion count. <br/> Constraints:",https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1?page=1&sortBy=submissions
Check for BST,Easy,25.37,"Given the root of a binary tree. Check whether it is a BST or not.
Note: We are considering that BSTs can not contain duplicate Nodes. A BST is defined as follows: The left subtree of a node contains only nodes with keys less than the node's key. The right subtree of a node contains only nodes with keys greater than the node's key. <br/> Examples <br/>: Input: root[] = [2, 1, 3, N, N, N, 5]
   2
 /    \
1      3
\
5
<br/> Output: true 
<br/> Explanation: Input: root[] = [2, N, 7, N, 6, N, 9]
 2
  \
  7
  \
  6
  \
  9 <br/> Output: false 
<br/> Explanation: 
Since the node with value 7 has right subtree nodes with keys less than 7, this is not a BST.   Input: root[] = [10, 5, 20, N, N, 9, 25]
  10
 /    \
5      20
/ \
9 25
<br/> Output: false
<br/> Explanation: The node is present in the right subtree of 10, but it is smaller than 10. <br/> Constraints:",https://www.geeksforgeeks.org/problems/check-for-bst/1?page=1&sortBy=submissions
Binary Search,Easy,44.32,"Given a sorted array arr and an integer k, find the position(0-based indexing) at which k is present in the array using binary search. <br/> Examples <br/>: Input: arr[] = [1, 2, 3, 4, 5], k = 4
<br/> Output: 3
<br/> Explanation: 4 appears at index 3. Input: arr[] = [11, 22, 33, 44, 55], k = 445
<br/> Output: -1
<br/> Explanation: 445 is not present. Input: arr[] = [1, 1, 1, 1, 2], k = 1
<br/> Output: 0
<br/> Explanation: 1 appears at index 0. <br/> Constraints:
1 <= arr.size() <= 105
1 <= arr[i] <= 106
1 <= k <= 106",https://www.geeksforgeeks.org/problems/binary-search-1587115620/1?page=1&sortBy=submissions
Left View of Binary Tree,Easy,33.74,"Examples : Input: root[] = [1, 2, 3, 4, 5, N, N]

<br/> Output: [1, 2, 4]
<br/> Explanation: From the left side of the tree, only the nodes 1, 2, and 4 are visible. Input: root[] = [1, 2, 3, N, N, 4, N, N, 5, N, N]
<br/> Output: [1, 3, 4, 5]
<br/> Explanation: From the left side of the tree, the nodes 1, 3, 4, and 5 are visible. Input: root[] = [N]
<br/> Output: [] <br/> Constraints:
0 <= number of nodes <= 106
0 <= node -> data <= 105",https://www.geeksforgeeks.org/problems/left-view-of-binary-tree/1?page=1&sortBy=submissions
Missing And Repeating,Easy,24.83,"Given an unsorted array arr of positive integers. One number a from the set [1, 2,....,n] is missing and one number b occurs twice in the array. Find numbers a and b. Note: The test cases are generated such that there always exists one missing and one repeating number within the range [1,n]. <br/> Examples <br/>: Input: arr[] = [2, 2]
<br/> Output: [2, 1]
<br/> Explanation: Repeating number is 2 and smallest positive missing number is 1. Input: arr[] = [1, 3, 3] 
<br/> Output: [3, 2]
<br/> Explanation: Repeating number is 3 and smallest positive missing number is 2. Input: arr[] = [4, 3, 6, 2, 1, 1] <br/> Output: [1, 5] <br/> Explanation: Repeating number is 1 and the missing number is 5. <br/> Constraints:
2 ≤ arr.size() ≤ 106
1 ≤ arr[i] ≤ arr.size()",https://www.geeksforgeeks.org/problems/find-missing-and-repeating2512/1?page=1&sortBy=submissions
Peak element,Basic,38.86,"Given an 0-indexed array of integers arr[], find its peak element and return its index. An element is considered to be peak if its value is greater than or equal to the values of its adjacent elements (if they exist). Note: The output will be ""true"" if the index returned by your function is correct; otherwise, it will be ""false"". Examples : Input: arr = [1, 2, 3]
<br/> Output: true
<br/> Explanation: If the index returned is 2, then the output printed will be 1. Since arr[2] = 3 is greater than its adjacent elements, and there is no element after it, we can consider it as a peak element. No other index satisfies the same property, so answer will be printed as 0. Input: arr = [1, 1, 1, 2, 1, 1, 1]
<br/> Output: true
<br/> Explanation: In this case there are 5 peak elements with indices as {0,1,3,5,6}. Returning any of them will give you correct answer. Input: arr = [1, 1, 1]
<br/> Output: true
<br/> Explanation: In this case, all elements are peak elements. <br/> Constraints:
1 ≤ arr.size() ≤ 106
0 ≤ arr[i] ≤ 106",https://www.geeksforgeeks.org/problems/peak-element/1?page=1&sortBy=submissions
Undirected Graph Cycle,Medium,30.13," <br/> Examples <br/>: Input: adj = [[1], [0,2,4], [1,3], [2,4], [1,3]] 
<br/> Output: 1
<br/> Explanation: Input: adj = [[], [2], [1,3], [2]] 0
<br/> Explanation: <br/> Constraints:
1 ≤ adj.size() ≤ 105",https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1?page=1&sortBy=submissions
Longest Sub-Array with Sum K,Medium,24.64,"Given an array arr[] containing integers and an integer k, your task is to find the length of the longest subarray where the sum of its elements is equal to the given value k. It is guaranteed that a valid subarray exists. <br/> Examples <br/>: Input: arr[] = [10, 5, 2, 7, 1, 9], k = 15
<br/> Output: 4
<br/> Explanation: The subarray [5, 2, 7, 1] has a sum of 15 and length 4. Input: arr[] = [-1, 2, -3], k = -2
<br/> Output: 3
<br/> Explanation: The subarray [-1, 2, -3] has a sum of -2 and length 3. Input: arr[] = [1, -1, 5, -2, 3], k = 3
<br/> Output: 4
<br/> Explanation: The subarray [1, -1, 5, -2] has a sum of 3 and a length 4. <br/> Constraints:",https://www.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1?page=2&sortBy=submissions
Minimum Platforms,Medium,26.84,"You are given the arrival times arr[] and departure times dep[] of all trains that arrive at a railway station on the same day. Your task is to determine the minimum number of platforms required at the station to ensure that no train is kept waiting. <br/> Examples <br/>: Input: arr[] = [900, 940, 950, 1100, 1500, 1800], dep[] = [910, 1200, 1120, 1130, 1900, 2000]
<br/> Output: 3
<br/> Explanation: There are three trains during the time 9:40 to 12:00. So we need a minimum of 3 platforms. Input: arr[] = [900, 1235, 1100], dep[] = [1000, 1240, 1200]
<br/> Output: 1
<br/> Explanation: All train times are mutually exclusive. So we need only one platform Input: arr[] = [1000, 935, 1100], dep[] = [1200, 1240, 1130]
<br/> Output: 3
<br/> Explanation: All 3 trains have to be there from 11:00 to 11:30 <br/> Constraints:
1≤ number of trains ≤ 50000
0000 ≤ arr[i] ≤ dep[i] ≤ 2359
Note: Time intervals are in the 24-hour format(HHMM) , where the first two characters represent hour (between 00 to 23 ) and the last two characters represent minutes (this will be <= 59 and >= 0).",https://www.geeksforgeeks.org/problems/minimum-platforms-1587115620/1?page=2&sortBy=submissions
Remove loop in Linked List,Medium,27.66,"Note: Given an integer, pos (1 based index)  Position of the node to which the last node links back if there is a loop. If the linked list does not have any loop, then pos = 0. The generated output will be true if your submitted code is correct, otherwise, false. <br/> Examples <br/>: Input: Linked list: 1->3->4, pos = 2
<br/> Output: true
<br/> Explanation: The linked list looks like

A loop is present. If you remove it successfully, the answer will be true. Input: Linked list: 1->8->3->4, pos = 0
<br/> Output: true
<br/> Explanation:

The Linked list does not contains any loop. Input: Linked list: 1->2->3->4, pos = 1
<br/> Output: true
<br/> Explanation: The linked list looks like

A loop is present. If you remove it successfully, the answer will be true. Expected Time Complexity: O(n)
Expected Space  <br/> Constraints:
1 ≤ size of linked list ≤ 105",https://www.geeksforgeeks.org/problems/remove-loop-in-linked-list/1?page=2&sortBy=submissions
Two sum -Pairs with 0 Sum,Easy,31.49,"Given an integer array arr, return all the unique pairs [arr[i], arr[j]] such that i != j and arr[i] + arr[j] == 0. Note: The pairs must be returned in sorted order, the solution array should also be sorted, and the answer must not contain any duplicate pairs. <br/> Examples <br/>: Input: arr = [-1, 0, 1, 2, -1, -4]
<br/> Output: [[-1, 1]]
<br/> Explanation: arr[0] + arr[2] = (-1)+ 1 = 0.
arr[2] + arr[4] = 1 + (-1) = 0.
The distinct triplets are [-1,1]. Input: arr = [6, 1, 8, 0, 4, -9, -1, -10, -6, -5]
<br/> Output: [[-6, 6],[-1, 1]]
<br/> Explanation: The distinct triplets are [-1, 1] and [-6, 6]. Expected Time Complexity: O(n log n)
Expected Auxiliary Space: O(n). <br/> Constraints:
3 <= arr.size <= 105
-105 <= arr[i] <= 105",https://www.geeksforgeeks.org/problems/count-pairs-with-given-sum5022/1?page=2&sortBy=submissions
0 - 1 Knapsack Problem,Medium,31.76,"You are given the weights and values of items, and you need to put these items in a knapsack of capacity capacity to achieve the maximum total value in the knapsack. Each item is available in only one quantity. In other words, you are given two integer arrays val[] and wt[], which represent the values and weights associated with items, respectively. You are also given an integer capacity, which represents the knapsack capacity. Your task is to find the maximum sum of values of a subset of val[] such that the sum of the weights of the corresponding subset is less than or equal to capacity. You cannot break an item; you must either pick the entire item or leave it (0-1 property). Examples : Input: capacity = 4, val[] = [1, 2, 3], wt[] = [4, 5, 1]
<br/> Output: 3
<br/> Explanation: Choose the last item, which weighs 1 unit and has a value of 3. Input: capacity = 3, val[] = [1, 2, 3], wt[] = [4, 5, 6]
<br/> Output: 0
<br/> Explanation: Every item has a weight exceeding the knapsack's capacity (3). Input: capacity = 5, val[] = [10, 40, 30, 50], wt[] = [5, 4, 6, 3]
<br/> Output: 50
<br/> Explanation: Choose the second item (value 40, weight 4) and the fourth item (value 50, weight 3) for a total weight of 7, which exceeds the capacity. Instead, pick the last item (value 50, weight 3) for a total value of 50. Expected Time Complexity: O(n*capacity).
Expected Auxiliary Space: O(n*capacity) <br/> Constraints:",https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1?page=2&sortBy=submissions
Detect Loop in linked list,Medium,43.49,"Note: You need to return a boolean value true if there is a loop, otherwise false. The following is an internal representation of every test case (three inputs).
A LinkedList and a pos (1-based index)-Position of the node to which the last node links back if there is a loop. If the linked list does not have any loop, then pos = 0. <br/> Examples <br/>: Input: LinkedList: 1->3->4
<br/> Output: true
<br/> Explanation:

See the above list there exists a loop connecting the last node back to the second node. Input: LinkedList: 1->8->3->4
<br/> Output: false
<br/> Explanation:

There is no loop exists. Input: LinkedList: 1->2->3->4
<br/> Output: true
<br/> Explanation: Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1) <br/> Constraints:",https://www.geeksforgeeks.org/problems/detect-loop-in-linked-list/1?page=2&sortBy=submissions
Trapping Rain Water,Hard,33.14,"Given an array arr[] with non-negative integers representing the height of blocks. If the width of each block is 1, compute how much water can be trapped between the blocks during the rainy season.  <br/> Examples <br/>: Input: arr[] = [3, 0, 0, 2, 0, 4]
<br/> Output: 10
<br/> Explanation: Input: arr[] = [7, 4, 0, 9]
<br/> Output: 10
<br/> Explanation:
Water trapped by above 
block of height 4 is 3 units and above 
block of height 0 is 7 units. So, the 
total unit of water trapped is 10 units. Input: arr[] = [6, 9, 9]
<br/> Output: 0
<br/> Explanation:
No water will be trapped. <br/> Constraints:
3 < arr.size() < 104
0 < arr[i] < 103",https://www.geeksforgeeks.org/problems/trapping-rain-water-1587115621/1?page=2&sortBy=submissions
BFS of graph,Easy,44.09,"Given a connected undirected graph represented by an adjacency list adj, which is a vector of vectors where each adj[i] represents the list of vertices connected to vertex i. Perform a Breadth First Traversal (BFS) starting from vertex 0, visiting vertices from left to right according to the adjacency list, and return a list containing the BFS traversal of the graph. <br/> Examples <br/>: Input: adj = [[2,3,1], [0], [0,4], [0], [2]] <br/> Output: [0, 2, 3, 1, 4]
<br/> Explanation: Starting from 0, the BFS traversal will follow these steps:
Visit 0 → <br/> Output: 0
Visit 2 (first neighbor of 0) → <br/> Output: 0, 2
Visit 3 (next neighbor of 0) → <br/> Output: 0, 2, 3
Visit 1 (next neighbor of 0) → <br/> Output: 0, 2, 3,
Visit 4 (neighbor of 2) → Final <br/> Output: 0, 2, 3, 1, 4 Input: adj = [[1, 2], [0, 2], [0, 1, 3, 4], [2], [2]]

<br/> Output: [0, 1, 2, 3, 4]
<br/> Explanation: Starting from 0, the BFS traversal proceeds as follows:
Visit 0 → <br/> Output: 0
Visit 1 (the first neighbor of 0) → <br/> Output: 0, 1
Visit 2 (the next neighbor of 0) → <br/> Output: 0, 1, 2
Visit 3 (the first neighbor of 2 that hasn't been visited yet) → <br/> Output: 0, 1, 2, 3
Visit 4 (the next neighbor of 2) → Final <br/> Output: 0, 1, 2, 3, 4 [0, 1, 2, 3, 4]
<br/> Explanation: Input: adj = [[1], [0, 2, 3], [1], [1, 4], [3]]
<br/> Output: [0, 1, 2, 3, 4]
<br/> Explanation: Starting the BFS from vertex 0:
Visit vertex 0 → <br/> Output: [0]
Visit vertex 1 (first neighbor of 0) → <br/> Output: [0, 1]
Visit vertex 2 (first unvisited neighbor of 1) → <br/> Output: [0, 1, 2]
Visit vertex 3 (next neighbor of 1) → <br/> Output: [0, 1, 2, 3]
Visit vertex 4 (neighbor of 3) → Final <br/> Output: [0, 1, 2, 3, 4] <br/> Constraints:
1 ≤ adj.size() ≤ 104
1 ≤ adj[i][j] ≤ 104",https://www.geeksforgeeks.org/problems/bfs-traversal-of-graph/1?page=2&sortBy=submissions
Perfect Sum Problem,Medium,20.58,"Given an array arr of non-negative integers and an integer target, the task is to count all subsets of the array whose sum is equal to the given target. Note: It is guaranteed that the product of the length of arr and target will not exceed 106 <br/> Examples <br/>: Input: arr[] = [5, 2, 3, 10, 6, 8], target = 10
<br/> Output: 3
<br/> Explanation: The subsets {5, 2, 3}, {2, 8}, and {10} sum up to the target 10. Input: arr[] = [2, 5, 1, 4, 3], target = 10
<br/> Output: 3
<br/> Explanation: The subsets {2, 1, 4, 3}, {5, 1, 4}, and {2, 5, 3} sum up to the target 10. Input: arr[] = [5, 7, 8], target = 3
<br/> Output: 0
<br/> Explanation: There are no subsets of the array that sum up to the target 3. Input: arr[] = [35, 2, 8, 22], target = 0
<br/> Output: 1
<br/> Explanation: The empty subset is the only subset with a sum of 0. <br/> Constraints:
1 ≤ arr.size() ≤ 103
0 ≤ arr[i] ≤ 103
0 ≤ target ≤ 103",https://www.geeksforgeeks.org/problems/perfect-sum-problem5633/1?page=2&sortBy=submissions
Cycle in a Directed Graph,Medium,27.88,"Given a Directed Graph with V vertices (Numbered from 0 to V-1) and E edges, check whether it contains any cycle or not.
The graph is represented as an adjacency list, where adj[i] contains a list of vertices that are directly reachable from vertex i. Specifically, adj[i][j] represents an edge from vertex i to vertex j. Example 1: Input: <br/> Output: 1
<br/> Explanation: 3 -> 3 is a cycle Example 2: Input: <br/> Output: 0
<br/> Explanation: no cycle in the graph <br/> Constraints:
1 ≤ V, E ≤ 105",https://www.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1?page=2&sortBy=submissions
Sum of Series,Basic,23.81,"<br/> Examples <br/>: Input: n = 1
<br/> Output: 1
<br/> Explanation: For n = 1, the sum will be 1. Input: n = 5
<br/> Output: 15
<br/> Explanation: For n = 5, sum will be 15. 1 + 2 + 3 + 4 + 5 = 15. Expected Time Complexity: O(1)
Expected Auxiliary Space: O(1) <br/> Constraints:
1 <= n <= 109",https://www.geeksforgeeks.org/problems/sum-of-series2811/1?page=2&sortBy=submissions
Next Greater Element,Medium,32.95,"Given an array arr[ ] of integers, the task is to find the next greater element for each element of the array in order of their appearance in the array. Next greater element of an element in the array is the nearest element on the right which is greater than the current element.
If there does not exist next greater of current element, then next greater element for current element is -1. For example, next greater of the last element is always -1. Examples Input: arr[] = [1, 3, 2, 4]
<br/> Output: [3, 4, 4, -1]
<br/> Explanation: The next larger element to 1 is 3, 3 is 4, 2 is 4 and for 4, since it doesn't exist, it is -1. Input: arr[] = [6, 8, 0, 1, 3]
<br/> Output: [8, -1, 1, 3, -1]
<br/> Explanation: The next larger element to 6 is 8, for 8 there is no larger elements hence it is -1, for 0 it is 1 , for 1 it is 3 and then for 3 there is no larger element on right and hence -1. Input: arr[] = [10, 20, 30, 50]
<br/> Output: [20, 30, 50, -1]
<br/> Explanation: For a sorted array, the next element is next greater element also exxept for the last element. Input: arr[] = [50, 40, 30, 10]
<br/> Output: [-1, -1, -1, -1]
<br/> Explanation: There is no greater element for any of the elements in the array, so all are -1. <br/> Constraints:
1 ≤ arr.size() ≤ 106
0 ≤ arr[i] ≤ 109",https://www.geeksforgeeks.org/problems/next-larger-element-1587115620/1?page=2&sortBy=submissions
Power of 2,Easy,32.58,"Given a non-negative integer n. The task is to check if it is a power of 2.  Examples Input: n = 8
<br/> Output: true
<br/> Explanation: 8 is equal to 2 raised to 3 (23 = 8). Input: n = 98
<br/> Output: false
<br/> Explanation: 98 cannot be obtained by any power of 2. Input: n = 1
<br/> Output: true
<br/> Explanation: Expected Time Complexity: O(log n).
Expected Auxiliary Space: O(1). <br/> Constraints:
0 ≤ n < 109",https://www.geeksforgeeks.org/problems/power-of-2-1587115620/1?page=2&sortBy=submissions
